,Dep,link,Dep,Course_type,ID,Course Name
117,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7054,Enterprise Risk Management
118,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7055,Innovation and Technopreneurship
119,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7056,Advanced Strategic Management of IT
120,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7057,E- Government
121,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7058,Management Accounting and Strategic Cost Management
122,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7059,Business Intelligence
123,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7060,Multimedia Technologies
124,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7061,Supply Chain Management
125,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7062,Strategic Communication for Leadership Development
126,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7063,Digital Business and e-Commerce Management
127,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7064,Executive Support Systems and Decision Support Systems
128,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Seminars and selected topics,8000,Seminar in Information Technology Management
129,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Independent study,9000,Independent Study
130,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Independent study,9004,Thesis
131,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ND,Foundation courses,4000,Foundation for Graduate Studies
132,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,LC,Foundation courses,4001,Reading Skills Development in English for Graduate Studies
133,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,LC,Foundation courses,4002,Integrated English Language Skills Development
134,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,LC,Foundation courses,4011,Remedial Reading Skills Development in English for Graduate Studies
135,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,LC,Foundation courses,4012,Remedial Integrated English Language Skills Development
136,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Foundation courses,4003,English for Business Communications and Presentations
137,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Foundation courses,4010,Database Systems and Basic Concepts of Business Applications Development
138,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Basic courses,5010,"Enterprise IT and Emerging Technologies: ERP, Cloud, IoT, Blockchain and Fintech"
139,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Basic courses,5020,Machine Learning and Quantitative Methods for Business Analytics
140,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Core courses,6010,"Enterprise Data Management: Data Governance, Data Strategy, NoSQL and Big Data"
141,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Core courses,6020,Computer Networks and Cyber Security
142,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Core courses,6030,IT Strategic Planning and IT Projects  Management
143,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Core courses,6040,Managerial Accounting
144,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Core courses,6050,Human Resource Management and Organization Behavior
145,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Core courses,6060,Marketing Management and Digital Marketing
146,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7000,Systems Analysis and Design and Agile Methodologies
147,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7001,Enterprise Computing and Cloud Technologies
148,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7002,Financial Management
149,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7003,Operations Management
150,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7004,Economics for Management
151,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7005,Information Technology Law
152,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7050,Applied Analytics and Research Methodology
153,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7051,Deep Learning and Machine Learning in Big Data Analytics
154,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7052,Customer Relationship Management
155,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7053,Blockchain and FinTech
156,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7054,Enterprise Risk Management
157,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7055,Innovation and Technopreneurship
158,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7056,Advanced Strategic Management of IT
159,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7057,E- Government
160,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7058,Management Accounting and Strategic Cost Management
161,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7059,Business Intelligence
162,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7060,Multimedia Technologies
163,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7061,Supply Chain Management
164,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7062,Strategic Communication for Leadership Development
165,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7063,Digital Business and e-Commerce Management
166,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7064,Executive Support Systems and Decision Support Systems
167,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Seminars and selected topics,8000,Seminar in Information Technology Management
168,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Independent study,9000,Independent Study
169,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Independent study,9004,Thesis
170,GSAS,https://as.nida.ac.th/en/madt-1/,MADT,Core courses,6001,Fundamentals of Business Analytics
171,GSAS,https://as.nida.ac.th/en/madt-1/,MADT,Core courses,6002,Introduction to Data Technologies
172,GSAS,https://as.nida.ac.th/en/madt-1/,MADT,Core courses,6003,Professional Culture in Data Analytics
173,GSAS,https://as.nida.ac.th/en/madt-1/,MADT,Core courses,6004,Applied Data Analytics for Business
174,GSAS,https://as.nida.ac.th/en/madt-1/,MADT,Core courses,6005,Modern Data Management
175,GSAS,https://as.nida.ac.th/en/madt-1/,MADT,Elective courses,7101,Advanced Business Reporting
176,GSAS,https://as.nida.ac.th/en/madt-1/,MADT,Elective courses,7102,"Data Modeling, Transformation, and Quality Management"
177,GSAS,https://as.nida.ac.th/en/madt-1/,MADT,Elective courses,7103,Use Cases and Case Studies in Business Analytics
178,GSAS,https://as.nida.ac.th/en/madt-1/,MADT,Elective courses,7104,Digital Transformation with Data Analytics
179,GSAS,https://as.nida.ac.th/en/madt-1/,MADT,Elective courses,7201,"Cloud Infrastructure: Design, Development, and Management"
180,GSAS,https://as.nida.ac.th/en/madt-1/,MADT,Elective courses,7202,Web and Social Network Analytics Management
181,GSAS,https://as.nida.ac.th/en/madt-1/,MADT,Elective courses,7203,Data Security in the 21st Century
182,GSAS,https://as.nida.ac.th/en/madt-1/,MADT,Elective courses,7204,Big Data Applications - Practical Applications
183,GSAS,https://as.nida.ac.th/en/madt-1/,MADT,Seminars and selected topics,8000,Seminar in Management of Analytics and Data Technologies
184,GSAS,https://as.nida.ac.th/en/madt-1/,MADT,Seminars and selected topics,8101,Selected Topics in Management of Analytics and Data Technologies
185,GSAS,https://as.nida.ac.th/en/madt-1/,MADT,Independent study,9000,Independent Study
186,GSAS,https://as.nida.ac.th/en/madt-1/,LC,Foundation courses,4001,Reading Skills Development in English for Graduate Studies
